Date,Stock,Open,High,Low,Close,Adj Close,Volume
20/04/2022,NVDA,22.5170002,22.67000008,21.20000076,21.48200035,21.45329857,468974000
21/04/2022,NVDA,21.70899963,22.3920002,20,20.18300056,20.15603256,656209000
22/04/2022,NVDA,20.3029995,20.48600006,19.5,19.51499939,19.48892975,624713000
25/04/2022,NVDA,19.20199966,19.94499969,19.09600067,19.90200043,19.87541008,641566000
26/04/2022,NVDA,19.71800041,19.78800011,18.67000008,18.78800011,18.76289558,653143000
27/04/2022,NVDA,18.59799957,19.16699982,18.29000092,18.41500092,18.39039421,499460000
28/04/2022,NVDA,18.96699905,20.03700066,18.48999977,19.78199959,19.75556755,570327000
29/04/2022,NVDA,19.40200043,20.12800026,18.5170002,18.54700089,18.52222061,500435000
02/05/2022,NVDA,18.54100037,19.5739994,18.39100075,19.53300095,19.50690269,572049000
03/05/2022,NVDA,19.39999962,19.82500076,19.13299942,19.60199928,19.57580948,475751000
04/05/2022,NVDA,19.92300034,20.39999962,18.75099945,20.33399963,20.30683327,648855000
05/05/2022,NVDA,19.86700058,19.92499924,18.5,18.84399986,18.81882477,626331000
06/05/2022,NVDA,18.73600006,19.51199913,17.98999977,18.67499924,18.65004539,633297000
09/05/2022,NVDA,18.0340004,18.25499916,16.82699966,16.95000076,16.92735863,644455000
10/05/2022,NVDA,17.68899918,18.19799995,17.02499962,17.59499931,17.57148933,761474000
11/05/2022,NVDA,17.34700012,17.75300026,16.56800079,16.62999916,16.60777855,670167000
12/05/2022,NVDA,16.21899986,16.78800011,15.56700039,16.17499924,16.15338898,708728000
13/05/2022,NVDA,16.78800011,17.9279995,16.59300041,17.70599937,17.68234444,670437000
16/05/2022,NVDA,17.50900078,17.78800011,17.1060009,17.26399994,17.24093819,521446000
17/05/2022,NVDA,18.0739994,18.37100029,17.63400078,18.17700005,18.15271378,585830000
18/05/2022,NVDA,17.70499992,18.11800003,16.86400032,16.93799973,16.91537094,545161000
19/05/2022,NVDA,16.93700027,17.68700027,16.73399925,17.12400055,17.10112,621310000
20/05/2022,NVDA,17.33200073,17.40999985,15.75500011,16.69400024,16.67169952,739105000
23/05/2022,NVDA,16.27400017,16.91500092,16.17900085,16.89800072,16.87542534,639889000
24/05/2022,NVDA,16.51000023,16.59700012,15.77999973,16.15399933,16.13241768,588550000
25/05/2022,NVDA,16.02000046,17.11100006,16,16.97500038,16.95232201,781132000
26/05/2022,NVDA,16.0359993,18.09199905,16.02199936,17.85099983,17.82715034,996575000
27/05/2022,NVDA,18.18600082,18.88100052,18.10000038,18.81100082,18.78586578,738379000
31/05/2022,NVDA,18.97999954,19.20000076,18.35000038,18.67200089,18.64705467,664100000
01/06/2022,NVDA,18.72400093,19.0529995,18.12199974,18.31999969,18.2955246,544514000
02/06/2022,NVDA,18.29199982,19.61899948,18.19799995,19.59199905,19.56582451,648656000
03/06/2022,NVDA,19.08200073,19.33200073,18.52199936,18.71999931,18.69498634,598779000
06/06/2022,NVDA,19.13899994,19.33699989,18.56399918,18.7859993,18.76089668,422406000
07/06/2022,NVDA,18.47200012,19,18.18799973,18.9260006,18.90071487,388914000
08/06/2022,NVDA,18.79899979,19.18000031,18.53499985,18.64800072,18.6270256,363252000
09/06/2022,NVDA,18.4810009,18.93300056,18.04100037,18.04800034,18.0276947,395574000
10/06/2022,NVDA,17.60000038,17.6970005,16.86899948,16.97400093,16.95490456,465248000
13/06/2022,NVDA,16,16.31200027,15.60599995,15.64700031,15.6293993,604153000
14/06/2022,NVDA,15.73099995,16.06599998,15.4119997,15.83600044,15.81818581,469680000
15/06/2022,NVDA,16.09499931,16.86800003,15.92599964,16.52700043,16.5084095,563936000
16/06/2022,NVDA,15.85999966,15.94200039,15.40100002,15.60099983,15.58344936,545749000
17/06/2022,NVDA,15.64799976,15.99499989,15.32800007,15.88000011,15.86213589,630334000
21/06/2022,NVDA,16.47500038,17.00799942,16.40699959,16.56599998,16.5473671,483089000
22/06/2022,NVDA,16.22599983,16.66200066,16.18000031,16.36000061,16.3415966,437135000
23/06/2022,NVDA,16.5189991,16.58499908,15.85299969,16.22500038,16.20674515,463680000
24/06/2022,NVDA,16.5,17.13999939,16.30999947,17.12599945,17.10673523,472153000
27/06/2022,NVDA,17.31200027,17.32999992,16.62599945,16.86899948,16.85002327,427968000
28/06/2022,NVDA,16.89999962,17.20199966,15.94499969,15.98200035,15.96402168,461149000
29/06/2022,NVDA,15.81400013,15.81999969,15.17000008,15.54199982,15.52451706,482352000
30/06/2022,NVDA,15.36100006,15.56700039,14.86200047,15.1590004,15.1419487,686070000
01/07/2022,NVDA,14.89900017,15.06299973,14.3920002,14.52299976,14.50666237,577610000
05/07/2022,NVDA,14.17500019,14.97099972,14.05500031,14.96399975,14.94716644,651397000
06/07/2022,NVDA,15.01000023,15.31900024,14.78899956,15.13000011,15.11297989,529066000
07/07/2022,NVDA,15.45600033,15.94499969,15.38899994,15.8579998,15.84016037,492903000
08/07/2022,NVDA,15.43000031,16.03700066,15.38899994,15.8380003,15.82018375,467972000
11/07/2022,NVDA,15.52600002,15.52700043,15.03800011,15.15200043,15.13495445,437321000
12/07/2022,NVDA,15.26799965,15.43099976,14.87699986,15.08199978,15.06503296,458483000
13/07/2022,NVDA,14.59000015,15.375,14.46500015,15.16399956,15.14694118,521918000
